source,target,weight
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Computational Thinking Processes and Their Congruence with Problem-Solving and Information-Processing,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,An Application of <i>M</i><sub>2</sub> Statistic to Evaluate the Fit of Cognitive Diagnostic Models,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Limited Information Goodness-of-fit Testing in Multidimensional Contingency Tables,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Assessing Approximate Fit in Categorical Data Analysis,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,What is the Relationship between Students’ Computational Thinking Performance and School Achievement?,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Comparing computational thinking development assessment scores with software complexity metrics,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Towards transdisciplinary education,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Further Investigation of the Performance of S - X2: An Item Fit Index for Use With Dichotomous Item Response Theory Models,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Parson's programming puzzles: A fun and effective learning tool for first programming courses,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,R: A Language and Environment for Statistical Computing,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Multidimensional Item Response Theory Models,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,A Comparison of Item- and Person-Fit Methods of Assessing Model-Data Fit in IRT,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,The Challenges of Fitting an Item Response Theory Model to the Social Anhedonia Scale,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Bifactor Models and Rotations: Exploring the Extent to Which Multidimensional Data Yield Univocal Scale Scores,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Evaluating bifactor models: Calculating and interpreting statistical indices.,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Can computational talent be detected? Predictive validity of the Computational Thinking Test,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Demystifying computational thinking,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Using Logistic Approximations of Marginal Trace Lines to Develop Short Assessments,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Making sense of Cronbach's alpha,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,The long quest for computational thinking,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Precision and Differential Item Functioning on a Testlet-Based Test: The 1991 Law School Admissions Test as an Example,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Item Clusters and Computerized Adaptive Testing: A Case for Testlets,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Using a new statistical model for testlets to score TOEFL,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,"Computer science in K-12 school curricula of the 2lst century: Why, what and when?",1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Defining computational thinking for mathematics and science classrooms,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Comparing Block-Based and Text-Based Programming in High School Computer Science Classrooms,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Development of a Lean Computational Thinking Abilities Assessment for Middle Grades Students,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Computational thinking,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,The neural correlates of computational thinking: collaboration of distinct cognitive components revealed by fMRI,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Computational thinking as an emerging competence domain,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Computational thinking in elementary classrooms: Measuring teacher understanding of computational ideas for teaching science,1
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Item-score reliability as a selection tool in test construction,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Learner modeling for adaptive scaffolding in a Computational Thinking-based science learning environment,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Online reference included in article,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,An overview of the most relevant literature on coding and computational thinking with emphasis on the relevant issues for teachers,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Computational thinking-More than a variant of scientific inquiry. Computational thinking education,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Teaching Computational Thinking to Multilingual Students through Inquiry-based Learning,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Usability Evaluation of an Online Inquiry-Based Learning Platform for Computational Thinking (CT-ONLINQ),1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Phases of inquiry-based learning: Definitions and the inquiry cycle,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Critical-Inquiry-Based-Learning: Model of Learning to Promote Critical Thinking Ability of Pre-service Teachers,1
Immediate_Feedback_in_Computational_Thinking_Generating_hints_using_a_Knowledge_Graph.pdf,Computational thinking,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,A comparison of secondary schools students’ levels of conception of qualitative and quantitative inorganic analysis,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Effect of Homogenous and Heterogeneous Gender Pair Cooperative Learning Strategies on Students’ Achievement in Chemistry,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Teori Kognitif Dan Implikasi Dalam Pengajaran Dan Pembelajaran [Cognitive Theory and Implications in Teaching and Learning,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Hypertriglyceridaemic pancreatitis induced by oral contraceptives: rare but a fatal complication,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking: A digital age skill for everyone,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Bringing computational thinking to K-12,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The zones of proximal flow,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Learner modeling for adaptive scaffolding in a Computational Thinking-based science learning environment,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Enhancing Novice Students’ Computational Thinking Skills through Teaching and Learning Programming with Problem-Solving and Metacognitive Techniques,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Coding and Computational Thinking in Early Childhood: The Impact of ScratchJr in Europe,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Comparing students' mathematics achievement by their school types: Inclusive STEM schools that implemented PLTW curriculum with inclusive STEM schools that did not implement PLTW,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Development of Computational Thinking Skills through Unplugged Activities in Primary School,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Integrating science and engineering practices: outcomes from a collaborative professional development,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Chemistry,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"Research design: Qualitative, quantitative, and mixed methods approaches",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Enthusing & inspiring with reusable kinaesthetic activities,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Teaching Computational Thinking to 8-Year-Olds through ScratchJr,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Hanya 19 Peratus Pilih Aliran Sains,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Role of Visualization in Computer Science Education,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,HTML5 or messages from beyond the PDF,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,7 Contemporary educational technology Promoting Intrinsic and Extrinsic Motivation among Chemistry Students Using Computer-Assisted Instruction,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Reviewing Assessment of Student Learning in Interdisciplinary STEM Education,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,An overview of the most relevant literature on coding and computational thinking with emphasis on the relevant issues for teachers,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Conceptual Difficulties Experienced by Senior High School Students of Electrochemistry: Electric Circuits and Oxidation-Reduction Equations,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Conceptual difficulties experienced by senior high school students of electrochemistry: Electrochemical (galvanic) and electrolytic cells,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"Introduction: Macro, submicro and symbolic representations and the relationship between them: Key models in chemical education",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking in K-12: A review of the state of the field,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Determining What Our Students Need Most: Exploring Student Perceptions and Comparing Difficulty Ratings of Students and Faculty,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Exploring the Effect of Prior Knowledge and Gender on Undergraduate Students' Knowledge Structures in Chemistry,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Kongres Kebangsaan STEM. Towards Dignifying National Science And Technology,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Defining a New 21st Century Skill-Computational Thinking: Concepts and Trends,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,A Meta-Study of Algorithm Visualization Effectiveness,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking. Teacher resources,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"The Impact of Cooperative, Competitive, and Individualistic Learning Environments on Academic Achievement",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,A Class Hour That Lingers On,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Cooperative versus Competitive Efforts and Problem Solving,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Teaching and Learning of Electtrochemistry,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Effects of Teaching Programming via Scratch on Problem Solving Skills: A Discussion from Learners,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"Pre-service kindergarten teachers acceptance of ""scratchjr"" as a tool for learning and teaching computational thinking and science education",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,MyKimDG Module: An Interactive Platform towards Development of Twenty-First Century Skills and Improvement of Students,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Impact of Interactive Multimedia Module with Pedagogical Agents on Students' Understanding and Motivation in the Learning of Electrochemistry,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Should Parents Study Languages Too?,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Developing 21st Century Skills through a Constructivist-Constructionist Learning Environment. K-12 STEM,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Analyze your Scratch projects with Dr. Scratch and assess your computational thinking skills,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Research report (empirical study) can final examinations amplify students' misconceptions in chemistry? Chemistry education: research and practice,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Review on teaching and learning of computational thinking through programming: What is next for K-12?,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Scratch Programming Language and Environment,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Trends in Gender Segregation in the Choice of Science and Engineering Majors,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking in K-9 education,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Defining Inquiry: Exploring the Many Types of Inquiry in the Science Classroom,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"The Intersection of Gender, Race and Cultural Boundaries, or Why Is Computer Science in Malaysia Dominated by Women?",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"Secondary Students' Perceptions of Assessments in Science, Technology, Engineering, and Mathematics (STEM)",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Basics Computer Science: Standard Curriculum and Assessment Document. Putrajaya. Ministry of Education (MOE),1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Dr. Scratch: Automatic analysis of scratch projects to assess and foster computational thinking,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Supporting Middle School Teachers' Implementation of STEM Design Challenges,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Pengaruh Sikap Pada Mata Pelajaran Kimia Dan Konsep Diri Terhadap Prestasi Belajar Kimia,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Solving math and science problems in the real world with a computational mind,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Teaching Trategies: A Guide to Effective Instruction,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Developing fundamental programming concepts and computational thinking with ScratchJr in preschool education: A case study,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Situating constructionism,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Education for Life and Work: Developing Transferable Knowledge and Skills in the 21 St Century,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"Computational Thinking, Engineering Epistemology and STEM Epistemology: A Primary Approach to Computational Pedagogy",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Impact of a STEM Inquiry Game Learning Scenario on Computational Thinking and Computer Self-confidence,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Teaching computational thinking through bioinformatics to biology students,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,An Evaluation of Undergraduate South African Physics Students’ Epistemological Beliefs When Solving Physics Problems,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational Thinking in K-12: An analysis with Mathematics Teachers,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Scratch,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Assessing Computational Thinking in CS Unplugged Activities,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Using Student Performance to Assess CS Unplugged Activities in a Classroom Environment,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Keberkesanan Geographic Information System (GIS) dalam mencungkil minat pelajar terhadap mata pelajaran Geografi di sekolah menengah,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Implementation of Problem Based Learning Model in Concept Learning Mushroom as a Result of Student Learning Improvement Efforts Guidelines for Teachers,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Esophagus Detection for Halal Classification in SYCUT,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"ICT Teachers' Acceptance of ""Scratch"" as Algorithm Visualization Software",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Level of Computational Thinking Skills among Secondary Science Student: Variation across Gender and Mathematics Achievement,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Overview of Problem-based Learning: Deﬁnitions and Distinctions,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Factors That Prevent Learning in Electrochemistry,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Learning Theories an Educational Perspective,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Physics Problem-Solving Taxonomy (PPST): Development and Application for Evaluating Student Learning,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Teacher Productive Resources for Engineering Design Integration in High School Physics Instruction (Fundamental),1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Demystifying computational thinking,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"Student-centred and teacher-centred learning environment in pre-vocational secondary education: Psychological needs, and motivation",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Programming Multimedia Stories in Scratch to Integrate Computational Thinking and Writing with Elementary Students,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational Thinking the Intellectual Thinking for the 21st century,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"The Cooperative Elementary School: Effects on Students' Achievement, Attitudes, and Social Relations",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Investigating the Role of Computer-Supported Annotation in Problem-Solving-Based Teaching: An Empirical Study of a Scratch Programming Pedagogy,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Validation of Critical Thinking Test on Slovak Conditions,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Bringing Computational Thinking to STEM Education,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Relationship between Higher Order Thinking Skills and Academic Performance of Student in Mathematics Instruction,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Use of Project Activity in Teaching Mathematics,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,"On plugging ""unplugged"" into CS classes",1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Training Computational Thinking: Game-Based Unplugged and Plugged-in Activities in Primary School,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,The Trouble with 'Women in Computing': A Critical Examination of the Deployment of Research on the Gender Gap in Computer Science,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Challenges to Learning and Schooling in the Digital Networked World of the 21st Century,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking in compulsory education: Towards an agenda for research and practice. Education and Information Technologies,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Mind in society: The development of higher psychological processes,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational Thinking for All: Pedagogical Approaches to Embedding 21st Century Problem Solving in K-12 Classrooms,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational Pedagogy: Fostering a New Method of Teaching,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Augmenting a Classical Electrochemical Demonstration,1
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Gender and Ethnic Differences in Precollege Mathematics Coursework Related to Science,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Blokkbasert programmering og algoritmisk tenkning i en samarbeidslæringskontekst: En case-studie av programmering integrert i et matematikkfag,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Matematik -Faelles mål,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Personale-og ressourcetal,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Research on Logo,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Launching Implementation and Replication Studies in Mathematics Education (IRME),1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Characterising computational thinking in mathematics education: a literature-informed Delphi study,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Implementation-related research in mathematics education: the search for identity,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Surveying teachers' conception of programming as a mathematics topic following the implementation of a new mathematics curriculum,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Relations between mathematics and computer science in the French secondary school: A developing curriculum,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Kompetencer og matematiklaering: Idéer og inspiration til udvikling af matematikundervisning i Danmark [Competencies and mathematics learning: Ideas and inspiration for the development of mathematics teaching in Denmark,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,"Mindstorms: Children, computers, and powerful ideas. Basic Books. Regeringen",1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Scratch,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Policy and identification: Exploring the influence of identity perceptions on school leader sense-making in the Swedish school-age Educare,1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,"Towards designing a comparative survey for implementing PCT in Danish, Swedish, and English K-9 mathematics education",1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,"En løsning på hvad? Mål og midler i implementeringen af informatik-relaterede fag i Danmark, Sverige og England",1
Implementability_of_computational_thinking_in_Danish_compulsory_school_mathematics__a_survey_conduct.pdf,Defining computational thinking for mathematics and science classrooms,1
