source,target
"Programming Approaches to Computational Thinking: Integrating Turtle Geometry, Dynamic Manipulation and 3D Space",Computational thinking and thinking about computing
Prospective Mathematics and Sciences Teachers' Views on Coding and Computational Thinking,Computational thinking and thinking about computing
Rasch Analysis for Disposition Levels of Computational Thinking Instrument Among Secondary School Students,Computational thinking and thinking about computing
Rasch Analysis for Disposition Levels of Computational Thinking Instrument Among Secondary School Students,Computational Thinking in Elementary and Secondary Teacher Education
Redefining computational thinking: A holistic framework and its implications for K-12 education,An Overview of Computational Thinking
Redefining computational thinking: A holistic framework and its implications for K-12 education,Computational Thinking and Problem-Solving in the Context of IEA-ICILS 2018
Redefining computational thinking: A holistic framework and its implications for K-12 education,A Model for Developing Computational Thinking Skills
Relationships between computational thinking and the quality of computer programs,Computational thinking education: Issues and challenges
Relationships between computational thinking and the quality of computer programs,An Overview of Computational Thinking
Relationships between computational thinking and the quality of computer programs,Computational Thinking in Secondary Education: Where does it fit? A systematic literary review
"Relationships between middle school students’ digital literacy skills, computer programming self-efficacy, and computational thinking self-efficacy",The Impact of SRA-Programming on Computational Thinking in a Visual Oriented Programming Environment
"Relationships between middle school students’ digital literacy skills, computer programming self-efficacy, and computational thinking self-efficacy",Going beyond digital literacy to develop computational thinking in K-12 education
"Relationships between middle school students’ digital literacy skills, computer programming self-efficacy, and computational thinking self-efficacy",Computational thinking and thinking about computing
"Representations of Computational Thinking in Policy Documents in an Educational Context: The Cases of Denmark, Finland, and Norway",STEAM Teacher for a Day: A Case Study of Teachers’ Perspectives on Computational Thinking
"Representations of Computational Thinking in Policy Documents in an Educational Context: The Cases of Denmark, Finland, and Norway","Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education"
"Representations of Computational Thinking in Policy Documents in an Educational Context: The Cases of Denmark, Finland, and Norway",Computational thinking in compulsory education: Towards an agenda for research and practice
Research on the Impacts of Cognitive Style and Computational Thinking on College Students in a Visual Artificial Intelligence Course,Assessment of Eighth Grade Students' Domain-General Computational Thinking Skills
Research on the Impacts of Cognitive Style and Computational Thinking on College Students in a Visual Artificial Intelligence Course,Promoting computational thinking of both sciences- and humanities-oriented students: an instructional and motivational design perspective
Research on the Impacts of Cognitive Style and Computational Thinking on College Students in a Visual Artificial Intelligence Course,Computational thinking in compulsory education: Towards an agenda for research and practice
Research trends of computational thinking in mathematics learning: A bibliometric analysis from 2009 to 2023,An Overview of Computational Thinking
Research trends of computational thinking in mathematics learning: A bibliometric analysis from 2009 to 2023,A Model for Developing Computational Thinking Skills
Research trends of computational thinking in mathematics learning: A bibliometric analysis from 2009 to 2023,Formation of Computational Thinking Skills Using Computer Games in Teaching Mathematics
Research trends of computational thinking in mathematics learning: A bibliometric analysis from 2009 to 2023,Computational thinking and thinking about computing
Research trends of computational thinking in mathematics learning: A bibliometric analysis from 2009 to 2023,Computational Thinking in Elementary and Secondary Teacher Education
Review on pedagogical practices for computational thinking in teacher education,Lesson Planning by Computational Thinking Skills in Italian Pre-service Teachers
Review on pedagogical practices for computational thinking in teacher education,Pre-Service Teacher Training Program of STEM-based activities in Computing Science to Develop Computational Thinking
Review on pedagogical practices for computational thinking in teacher education,Computational Thinking in Elementary and Secondary Teacher Education
ROBOTICS AND COMPUTATIONAL THINKING FOR PRIMARY SCHOOL,Computational thinking in compulsory education: Towards an agenda for research and practice
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,Effects of a Computational Thinking Module on Preservice Teachers' Knowledge and Beliefs
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,"Computer Science Teachers' Perceptions, Beliefs and Attitudes on Computational Thinking in Greece"
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,The relationship between Executive Functions and Computational Thinking
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,Fostering preservice teachers’ expectancies and values towards computational thinking
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,Computational thinking and thinking about computing
Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,Computational Thinking in Elementary and Secondary Teacher Education
ScratchThAI: A conversation-based learning support framework for computational thinking development,Computational Thinking Development Challenges: Case Studies In Thai Primary Education
ScratchThAI: A conversation-based learning support framework for computational thinking development,Computational Thinking in Secondary Education: Where does it fit? A systematic literary review
ScratchThAI: A conversation-based learning support framework for computational thinking development,Computational thinking and thinking about computing
ScratchThAI: A conversation-based learning support framework for computational thinking development,Computational Thinking in Elementary and Secondary Teacher Education
Snapshot of Computational Thinking in Turkey: A Critique of 2019 Bebras Challenge,Computational Thinking: A Disciplinary Perspective
Snapshot of Computational Thinking in Turkey: A Critique of 2019 Bebras Challenge,Computational Thinking in Elementary and Secondary Teacher Education
STEAM Teacher for a Day: A Case Study of Teachers’ Perspectives on Computational Thinking,"Computer Science Teachers' Perceptions, Beliefs and Attitudes on Computational Thinking in Greece"
STEAM Teacher for a Day: A Case Study of Teachers’ Perspectives on Computational Thinking,Computational thinking and thinking about computing
Teaching AI with games: the impact of generative AI drawing on computational thinking skills,Developing Teaching Practice in Computational Thinking in Palestine
Teaching computational thinking with a tangible development platform: An exploratory field study at school with Kniwwelino,Combined Effects of Block-Based Programming and Physical Computing on Primary Students' Computational Thinking Skills
Teaching programming and computational thinking in early childhood education: a case study of content knowledge and pedagogical knowledge,Computational thinking in compulsory education: Towards an agenda for research and practice
Teaching the Concept of Computational Thinking: A STEM-Based Program With Tangible Robots on Project-Based Learning Courses,Effects of the Problem-Oriented Learning Model on Middle School Students’ Computational Thinking Skills in a Python Course
Teaching the Concept of Computational Thinking: A STEM-Based Program With Tangible Robots on Project-Based Learning Courses,Exploring Computational Thinking Skills Training Through Augmented Reality and AIoT Learning
Teaching the Concept of Computational Thinking: A STEM-Based Program With Tangible Robots on Project-Based Learning Courses,Computational thinking in compulsory education: Towards an agenda for research and practice
Computer Supported Education,Computational thinking and thinking about computing
"The Competent Computational Thinking Test (cCTt): A Valid, Reliable and Gender-Fair Test for Longitudinal CT Studies in Grades 3–6",The relationship between Executive Functions and Computational Thinking
The Creation of Animated Graphs to Develop Computational Thinking and Support STEM Education,Abbiamo davvero bisogno del pensiero computazionale?
"The Effect of Gender, Grade, Time and Chronotype on Computational Thinking: Longitudinal Study",Computational Thinking in Primary School: An Examination of Abstraction and Decomposition in Different Age Groups
"The Effect of Gender, Grade, Time and Chronotype on Computational Thinking: Longitudinal Study",Computational thinking and thinking about computing
"The effect of robotics on six graders’ academic achievement, computational thinking skills and conceptual knowledge levels",Computational thinking and thinking about computing
The effect of scaffolding programming games and attitudes towards programming on the development of Computational Thinking,Computational thinking and thinking about computing
"The Effect of the Modality on Students’ Computational Thinking, Programming Attitude, and Programming Achievement","The effect of robotics on six graders’ academic achievement, computational thinking skills and conceptual knowledge levels"
The efficacy of project-based learning in enhancing computational thinking among students: A meta-analysis of 31 experiments and quasi-experiments,Teaching the Concept of Computational Thinking: A STEM-Based Program With Tangible Robots on Project-Based Learning Courses
The efficacy of project-based learning in enhancing computational thinking among students: A meta-analysis of 31 experiments and quasi-experiments,Computational Thinking in Secondary Education: Where does it fit? A systematic literary review
The Impact of a STEM Inquiry Game Learning Scenario on Computational Thinking and Computer Self-confidence,Computational thinking in compulsory education: Towards an agenda for research and practice
The Impact of a STEM Inquiry Game Learning Scenario on Computational Thinking and Computer Self-confidence,Computational thinking and thinking about computing
The Impact of a STEM Inquiry Game Learning Scenario on Computational Thinking and Computer Self-confidence,Computational Thinking in Elementary and Secondary Teacher Education
The Relationship Between Learning Spaces and the Development of Computational Thinking Skill,Computational thinking and thinking about computing
The relation between computational thinking and logical thinking in the context of robotics education,Computational Thinking in Primary School: An Examination of Abstraction and Decomposition in Different Age Groups
The relation between computational thinking and logical thinking in the context of robotics education,Computational thinking and thinking about computing
Towards a Generalized Assessment of Computational Thinking for Introductory Physics Students,Developing a learning goal framework for computational thinking in computationally integrated physics classrooms
Towards Computational Thinking in Scandinavia,Computational Thinking and Practice -A Generic Approach to Computing in Danish High Schools
Two Changing Minds: A Journey to Culturally Responsive and Computational Thinking Infused Science Teaching,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education"
Using Card Sorting Activity as a Strategy for Evaluating Students’ Learning of Computational Thinking Concepts,Computational Thinking in Elementary and Secondary Teacher Education
"Using Classroom Practice as ""an Object to Think with"" to Develop Preservice Teachers' Understandings of Computational Thinking",Computational thinking in compulsory education: Towards an agenda for research and practice
“We are too dumb for this”: a critical discourse analysis of stereotypical attributions to struggle with computational thinking,Computational thinking with game design: An action research study with middle school students
“We are too dumb for this”: a critical discourse analysis of stereotypical attributions to struggle with computational thinking,Computational thinking and thinking about computing
What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking,An Investigation of the Data Collection Instruments Developed to Measure Computational Thinking
What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking,Computational Thinking Relationship with Digital Competence
What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking,Computational Thinking in Secondary Education: Where does it fit? A systematic literary review
What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking,Computational Thinking Equity in Elementary Classrooms: What Third-Grade Students Know and Can Do
What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking,Computational thinking in compulsory education: Towards an agenda for research and practice
