================================================================================
REMOVED WORDS - COMPLETE LIST
================================================================================

STEP 2: WORDS REMOVED AFTER MERGING
--------------------------------------------------------------------------------
Total removed: 825 unique words
Total frequency removed: 9,187

Rank     Word                                     Frequency   
406      artificial                     artific                        2           
407      addressed                      address                        2           
408      choosing                       choos                          2           
409      explicitly                     explicit                       2           
410      instead                        stead                          2           
411      complicated                    complicat                      2           
412      isolation                      isol                           2           
413      operationalization             operational                    2           
414      linked                         link                           1           
415      constructs                     construct                      1           
416      transferred                    transferr                      1           
417      subjects                       subject                        1           
418      dents                          dent                           1           
419      explained                      explain                        1           
420      andartificial                  andartific                     1           
421      characterizes                  characteriz                    1           
422      selected                       select                         1           
423      repre                          pre                            1           
424      sented                         sent                           1           
425      constrictive                   constrict                      1           
426      sparked                        spark                          1           
427      stating                        stat                           1           
428      ithms                          ithm                           1           
429      detailed                       detail                         1           
430      interpreted                    interpret                      1           
431      guzdial                        guzd                           1           
432      updates                        updat                          1           
433      formally                       formal                         1           
434      introducing                    introduc                       1           
435      separating                     separat                        1           
436      gathering                      gather                         1           
437      adding                         add                            1           
438      vital                          vit                            1           
439      interconnections               interconnection                1           
440      recognized                     recogniz                       1           
441      emphasized                     emphasiz                       1           
442      behavioral                     behavior                       1           
443      simpler                        simpl                          1           
444      emerged                        emerg                          1           
445      rmulating                      rmulat                         1           
446      regulated                      regulat                        1           
447      metacognitive                  metacognit                     1           
448      utilization                    util                           1           
449      aims                           aim                            1           
450      susceptible                    suscept                        1           
451      disseminate                    seminate                       1           
452      surveyed                       survey                         1           
453      formulated                     formulat                       1           
454      changed                        chang                          1           
455      presenting                     present                        1           
456      continues                      continu                        1           
457      receive                        rece                           1           
458      consideration                  consider                       1           
459      composition                    composi                        1           
460      capabilities                   capabilit                      1           
461      remains                        remain                         1           
462      debatable                      debat                          1           
463      consensual                     consensu                       1           
464      proposal                       propos                         1           
465      resorting                      resort                         1           
466      takes                          tak                            1           
467      discussion                     discus                         1           
468      excerpts                       excerpt                        1           
469      contained                      contain                        1           
470      providing                      provid                         1           
471      strengths                      strength                       1           
472      olving                         olv                            1           
473      citizens                       citizen                        1           
474      succeed                        succe                          1           
475      advances                       advanc                         1           
476      despite                        spite                          1           
477      traditionally                  traditional                    1           
478      reformulated                   reformulat                     1           
479      besides                        besid                          1           
480      generating                     generat                        1           
481      members                        member                         1           
482      closely                        close                          1           
483      division                       divi                           1           
484      utilise                        util                           1           
485      elapsed                        elaps                          1           
486      commonly                       common                         1           
487      recommendations                recommendation                 1           
488      collecting                     collect                        1           
489      evolution                      evolu                          1           
490      empowering                     empower                        1           
491      enriching                      enrich                         1           
492      visuals                        visual                         1           
493      depth                          pth                            1           
494      environments                   environment                    1           
495      suited                         suit                           1           
496      ctls                           ctl                            1           
497      coeffic                        coeff                          1           
498      calculated                     calculat                       1           
499      adapting                       adapt                          1           
500      integrating                    integrat                       1           
501      gramming                       gramm                          1           
502      increasingly                   increasing                     1           
503      argues                         argu                           1           
504      icils                          icil                           1           
505      structuring                    structur                       1           
506      manipulating                   manipulat                      1           
507      requiring                      requir                         1           
508      constitutes                    constitut                      1           
509      academics                      academic                       1           
510      failed                         fail                           1           
511      descriptions                   description                    1           
512      eventually                     eventual                       1           
513      integrate                      tegrate                        1           
514      classrooms                     classroom                      1           
515      creates                        creat                          1           
516      runnable                       runn                           1           
517      appears                        appear                         1           
518      mindstorms                     mindstorm                      1           
519      ordering                       order                          1           
520      generalising                   generalis                      1           
521      expanded                       expand                         1           
522      disesssa                       esssa                          1           
523      behaviors                      behavior                       1           
524      complexity                     complex                        1           
525      comes                          com                            1           
526      relaunched                     relaunch                       1           
527      revived                        reviv                          1           
528      influential                    influent                       1           
529      derstanding                    derstand                       1           
530      guidelines                     guidelin                       1           
531      standards                      standard                       1           
532      entitled                       entitl                         1           
533      solely                         sole                           1           
534      mphasise                       mphas                          1           
535      interactive                    interact                       1           
536      reducing                       reduc                          1           
537      numerous                       numer                          1           
538      denote                         note                           1           
539      simplifying                    simplify                       1           
540      transposing                    transpos                       1           
541      employs                        employ                         1           
542      fundamentals                   fundamental                    1           
543      serves                         serv                           1           
544      accessible                     access                         1           
545      simultaneously                 simultaneous                   1           
546      comparable                     compar                         1           
547      confronting                    confront                       1           
548      difficulties                   difficult                      1           
549      scientific                     scientif                       1           
550      offers                         offer                          1           
551      opportunity                    opportun                       1           
552      cess                           ces                            1           
553      grammed                        gramm                          1           
554      resolved                       resolv                         1           
555      places                         plac                           1           
556      majority                       major                          1           
557      rstly                          rst                            1           
558      introduction                   introduc                       1           
559      decades                        decad                          1           
560      posits                         posit                          1           
561      influences                     influenc                       1           
562      inventor                       ventor                         1           
563      applications                   application                    1           
564      screen                         scre                           1           
565      interface                      terface                        1           
566      displayed                      display                        1           
567      questioning                    question                       1           
568      socializing                    socializ                       1           
569      paced                          pac                            1           
570      examples                       exampl                         1           
571      scaffolded                     scaffold                       1           
572      produced                       produc                         1           
573      professionals                  professional                   1           
574      categorizes                    categoriz                      1           
575      categories                     categor                        1           
576      traction                       trac                           1           
577      practical                      pract                          1           
578      theoretically                  theoretical                    1           
579      issued                         issu                           1           
580      conjunction                    conjunc                        1           
581      transferability                transferabil                   1           
582      synthesis                      synthesi                       1           
583      papers                         paper                          1           
584      evaluations                    evaluation                     1           
585      concluded                      conclud                        1           
586      correction                     correc                         1           
587      projects                       project                        1           
588      views                          view                           1           
589      gestures                       gestur                         1           
590      promulgated                    promulgat                      1           
591      uential                        uent                           1           
592      synthesized                    synthesiz                      1           
593      associated                     associat                       1           
594      rooted                         root                           1           
595      comprises                      compris                        1           
596      informatico                    formatico                      1           
597      referenziale                   ferenziale                     1           
598      insieme                        sieme                          1           
599      delle                          lle                            1           
600      informatica                    formatica                      1           
601      speaking                       speak                          1           
602      procuring                      procur                         1           
603      resource                       source                         1           
604      supporting                     support                        1           
605      tinker                         tink                           1           
606      until                          til                            1           
607      builds                         build                          1           
608      needed                         need                           1           
609      underlying                     underly                        1           
610      mechanisms                     mechanism                      1           
611      technologies                   technolog                      1           
612      intellectual                   intellectu                     1           
613      multidimensional               multidimension                 1           
614      available                      avail                          1           
615      decided                        decid                          1           
616      focused                        focus                          1           
617      integrated                     integrat                       1           
618      papadakis                      papadaki                       1           
619      studied                        stud                           1           
620      organise                       organ                          1           
621      frequently                     frequent                       1           
622      cooperative                    cooperat                       1           
623      unraveling                     unravel                        1           
624      skillfully                     skillful                       1           
625      conquer                        conqu                          1           
626      intricate                      tricate                        1           
627      stephensen                     stephens                       1           
628      sues                           sue                            1           
629      translation                    transl                         1           
630      aiots                          aiot                           1           
631      investigated                   investigat                     1           
632      robotics                       robotic                        1           
633      hypothesizing                  hypothesiz                     1           
634      inventory                      ventory                        1           
635      intrinsic                      intrins                        1           
636      enjoyment                      enjoy                          1           
637      predictors                     predictor                      1           
638      characterised                  characteris                    1           
639      objective                      object                         1           
640      especiallyfollowingjeannettewing especiallyfollowingjeannettew  1           
641      sfoundational                  sfound                         1           
642      lating                         lat                            1           
643      precise                        prec                           1           
644      inition                        ini                            1           
645      placed                         plac                           1           
646      expected                       expect                         1           
647      prepare                        pare                           1           
648      connections                    connection                     1           
649      uncertainty                    certainty                      1           
650      making                         mak                            1           
651      comprehensibly                 comprehensib                   1           
652      performing                     perform                        1           
653      selecting                      select                         1           
654      moreover                       moreov                         1           
655      managing                       manag                          1           
656      communicating                  communicat                     1           
657      interacting                    interact                       1           
658      capacity                       capac                          1           
659      faber                          fab                            1           
660      derives                        deriv                          1           
661      thereafter                     thereaft                       1           
662      increase                       crease                         1           
663      environmental                  environment                    1           
664      local                          loc                            1           
665      tackles                        tackl                          1           
666      localities                     localit                        1           
667      sustainable                    sustain                        1           
668      goals                          goal                           1           
669      nations                        nation                         1           
670      immediate                      mediate                        1           
671      ambitious                      ambit                          1           
672      targets                        target                         1           
673      demonstrate                    monstrate                      1           
674      applicability                  applicabil                     1           
675      does                           doe                            1           
676      turing                         tur                            1           
677      postulated                     postulat                       1           
678      mimic                          mim                            1           
679      compatible                     compat                         1           
680      emphasizes                     emphasiz                       1           
681      importance                     portance                       1           
682      pedagogical                    pedagog                        1           
683      designingsystems               designingsystem                1           
684      bydrawing                      bydraw                         1           
685      yadavetal                      yadavet                        1           
686      thementalprocessforabstraction thementalprocessforabstrac     1           
687      creation                       cre                            1           
688      instructors                    instructor                     1           
689      intentionally                  intentional                    1           
690      highlighted                    highlight                      1           
691      honors                         honor                          1           
692      circuits                       circuit                        1           
693      ones                           one                            1           
694      algebraic                      algebra                        1           
695      derive                         der                            1           
696      vastly                         vast                           1           
697      feasible                       feas                           1           
698      renders                        render                         1           
699      infeasible                     infeas                         1           
700      massive                        mass                           1           
701      engines                        engin                          1           
702      networks                       network                        1           
703      skillsets                      skillset                       1           
704      latter                         latt                           1           
705      redesign                       design                         1           
706      characterizations              characterization               1           
707      exists                         exist                          1           
708      unambiguously                  unambiguous                    1           
709      resolving                      resolv                         1           
710      independent                    dependent                      1           
711      utilizing                      utiliz                         1           
712      referred                       referr                         1           
713      leads                          lead                           1           
714      domains                        domain                         1           
715      stressed                       stress                         1           
716      handled                        handl                          1           
717      caceres                        cacer                          1           
718      expectations                   expectation                    1           
719      engagement                     engag                          1           
720      organizations                  organization                   1           
721      identifies                     identif                        1           
722      music                          mus                            1           
723      debate                         bate                           1           
724      contribution                   contribu                       1           
725      unts                           unt                            1           
726      proteins                       protein                        1           
727      changing                       chang                          1           
728      ists                           ist                            1           
729      refined                        refin                          1           
730      emphasizing                    emphasiz                       1           
731      whether                        wheth                          1           
732      combinations                   combination                    1           
733      follows                        follow                         1           
734      values                         valu                           1           
735      device                         vice                           1           
736      materials                      material                       1           
737      meaning                        mean                           1           
738      actionable                     action                         1           
739      mated                          mat                            1           
740      established                    establish                      1           
741      covers                         cover                          1           
742      diversity                      divers                         1           
743      looks                          look                           1           
744      beginning                      beginn                         1           
745      assessments                    assessment                     1           
746      playing                        play                           1           
747      fosters                        foster                         1           
748      allowing                       allow                          1           
749      fundamen                       fundam                         1           
750      posited                        posit                          1           
751      reformulating                  reformulat                     1           
752      ormulating                     ormulat                        1           
753      necessitates                   necessitat                     1           
754      purposes                       purpos                         1           
755      presentation                   present                        1           
756      funded                         fund                           1           
757      initiate                       itiate                         1           
758      thinkers                       thinker                        1           
759      divides                        divid                          1           
760      looked                         look                           1           
761      individually                   individual                     1           
762      considering                    consider                       1           
763      previously                     previous                       1           
764      ignoring                       ignor                          1           
765      irrelevant                     relevant                       1           
766      empowers                       empower                        1           
767      solvers                        solver                         1           
768      enabling                       enabl                          1           
769      referenced                     referenc                       1           
770      converting                     convert                        1           
771      higher                         high                           1           
772      summaris                       summari                        1           
773      ncies                          nci                            1           
774      relevance                      levance                        1           
775      portrayed                      portray                        1           
776      teachable                      teach                          1           
777      disjoining                     disjoin                        1           
778      exclusivity                    exclusiv                       1           
779      puts                           put                            1           
780      generated                      generat                        1           
781      implies                        impl                           1           
782      removing                       remov                          1           
783      unnecessary                    necessary                      1           
784      formatting                     formatt                        1           
785      coming                         com                            1           
786      insights                       insight                        1           
787      unique                         ique                           1           
788      features                       featur                         1           
789      innovative                     innovat                        1           
790      outside                        side                           1           
791      summarized                     summariz                       1           
792      discourse                      course                         1           
793      equity                         equ                            1           
794      burgeoning                     burgeon                        1           
795      planning                       plann                          1           
796      omputational                   omput                          1           
797      synthesizes                    synthesiz                      1           
798      ritter                         ritt                           1           
799      expressive                     express                        1           
800      varied                         var                            1           
801      provides                       provid                         1           
802      instr                          str                            1           
803      demystify                      demyst                         1           
804      puters                         puter                          1           
805      reigniting                     reignit                        1           
806      facing                         fac                            1           
807      captured                       captur                         1           
808      generations                    generation                     1           
809      ycharis                        ychari                         1           
810      agreed                         agre                           1           
811      reinterpret                    interpret                      1           
812      disassembly                    disassemb                      1           
813      incorporate                    corporate                      1           
814      thinks                         think                          1           
815      similarities                   similarit                      1           
816      employing                      employ                         1           
817      devise                         dev                            1           
818      intelligent                    telligent                      1           
819      workshops                      workshop                       1           
820      familiarize                    familiar                       1           
821      investigate                    vestigate                      1           
822      inquiry                        quiry                          1           
823      exhibited                      exhibit                        1           
824      exploring                      explor                         1           
825      engineered                     engineer                       1           
826      inverse                        verse                          1           
827      introduce                      troduce                        1           
828      mindreader                     mindread                       1           
829      disciplinary                   ciplinary                      1           
830      specified                      specif                         1           
831      jobs                           job                            1           
832      composing                      compos                         1           
833      collected                      collect                        1           
834      games                          gam                            1           
835      jams                           jam                            1           
836      supports                       support                        1           
837      reflection                     reflec                         1           
838      creating                       creat                          1           
839      persevering                    persever                       1           
840      evoked                         evok                           1           
841      chevalier                      chevali                        1           
842      ccps                           ccp                            1           
843      observations                   observation                    1           
844      helped                         help                           1           
845      discover                       discov                         1           
846      ended                          end                            1           
847      capability                     capabil                        1           
848      connected                      connect                        1           
849      conceptualization              conceptual                     1           
850      founding                       found                          1           
851      nucleus                        nucleu                         1           
852      constitutive                   constitut                      1           
853      transversal                    transvers                      1           
854      competences                    competenc                      1           
855      encounters                     encounter                      1           
856      furber                         furb                           1           
857      concise                        conc                           1           
858      surrounding                    surround                       1           
859      clearly                        clear                          1           
860      manner                         mann                           1           
861      snider                         snid                           1           
862      modified                       modif                          1           
863      triggers                       trigger                        1           
864      events                         event                          1           
865      measurable                     measur                         1           
866      namely                         name                           1           
867      functions                      function                       1           
868      nesting                        nest                           1           
869      tackling                       tackl                          1           
870      articles                       articl                         1           
871      exploits                       exploit                        1           
872      prevention                     preven                         1           
873      heuristic                      heurist                        1           
874      words                          word                           1           
875      brings                         bring                          1           
876      types                          typ                            1           
877      workspaces                     workspac                       1           
878      forms                          form                           1           
879      webster                        webst                          1           
880      concerned                      concern                        1           
881      central                        centr                          1           
882      simplification                 simplific                      1           
883      says                           say                            1           
884      highly                         high                           1           
885      encompassing                   encompass                      1           
886      ties                           tie                            1           
887      basically                      basical                        1           
888      subtasks                       subtask                        1           
889      correctness                    correct                        1           
890      trying                         try                            1           
891      quantification                 quantific                      1           
892      reductionism                   ductionism                     1           
893      problematic                    problemat                      1           
894      epistemic                      epistem                        1           
895      tractable                      tract                          1           
896      tension                        ten                            1           
897      inappropriate                  appropriate                    1           
898      logics                         logic                          1           
899      findings                       finding                        1           
900      indicate                       dicate                         1           
901      phys                           phy                            1           
902      ideal                          ide                            1           
903      spaces                         spac                           1           
904      pillars                        pillar                         1           
905      attempts                       attempt                        1           
906      structural                     structur                       1           
907      specialized                    specializ                      1           
908      proper                         prop                           1           
909      justification                  justific                       1           
910      numeric                        numer                          1           
911      utational                      uta                            1           
912      popularis                      populari                       1           
913      encourages                     encourag                       1           
914      promotes                       promot                         1           
915      sees                           see                            1           
916      labelled                       labell                         1           
917      equipped                       equipp                         1           
918      classify                       class                          1           
919      investigation                  investig                       1           
920      reproduces                     reproduc                       1           
921      fixes                          fix                            1           
922      mostly                         most                           1           
923      kids                           kid                            1           
924      resilience                     silience                       1           
925      getting                        gett                           1           
926      resilient                      silient                        1           
927      fixing                         fix                            1           
928      seeing                         see                            1           
929      willing                        will                           1           
930      deeper                         deep                           1           
931      beneficial                     benefic                        1           
932      equally                        equal                          1           
933      valuable                       valu                           1           
934      reused                         reus                           1           
935      troubleshooting                troubleshoot                   1           
936      functional                     func                           1           
937      framings                       framing                        1           
938      communities                    communit                       1           
939      interdisciplinary              terdisciplinary                1           
940      teams                          team                           1           
941      imagine                        agine                          1           
942      possibilities                  possibilit                     1           
943      inclusive                      inclus                         1           
944      decisions                      decision                       1           
945      insociety                      society                        1           
946      empowerment                    empower                        1           


================================================================================
SUMMARY
================================================================================
Total unique words removed in Step 2: 825
Total unique words removed in Step 3: 946
Total frequency removed in Step 2: 9,187
Total frequency removed in Step 3: 3,026
Grand total frequency removed: 12,213
